2/22/2014 12:33:52 PM: Starting interval: 4500000 jobs during 45000 seconds
2/22/2014 12:40:16 PM: second 374, jobs that second 103, active requests: 0
2/22/2014 12:40:17 PM: second 375, jobs that second 84, active requests: 0
2/22/2014 12:40:18 PM: second 376, jobs that second 101, active requests: 0
2/22/2014 12:40:19 PM: second 377, jobs that second 106, active requests: 0
2/22/2014 12:40:20 PM: second 378, jobs that second 88, active requests: 0
2/22/2014 12:40:21 PM: second 379, jobs that second 89, active requests: 0
2/22/2014 12:40:22 PM: second 380, jobs that second 113, active requests: 0
2/22/2014 12:40:23 PM: second 381, jobs that second 104, active requests: 0
2/22/2014 12:40:24 PM: second 382, jobs that second 90, active requests: 0
2/22/2014 12:40:25 PM: second 383, jobs that second 100, active requests: 0
2/22/2014 12:40:26 PM: second 384, jobs that second 102, active requests: 0
2/22/2014 12:40:27 PM: second 385, jobs that second 83, active requests: 0
2/22/2014 12:40:28 PM: second 386, jobs that second 113, active requests: 0
2/22/2014 12:40:29 PM: second 387, jobs that second 104, active requests: 0
2/22/2014 12:40:30 PM: second 388, jobs that second 100, active requests: 0
2/22/2014 12:40:31 PM: second 389, jobs that second 114, active requests: 0
2/22/2014 12:40:32 PM: second 390, jobs that second 87, active requests: 0
2/22/2014 12:40:33 PM: second 391, jobs that second 102, active requests: 0
2/22/2014 12:40:34 PM: second 392, jobs that second 99, active requests: 0
2/22/2014 12:40:35 PM: second 393, jobs that second 98, active requests: 0
2/22/2014 12:40:36 PM: second 394, jobs that second 117, active requests: 0
2/22/2014 12:40:37 PM: second 395, jobs that second 106, active requests: 0
